INFO [moustache] [2025-05-29 13:44:36] INFO  🔥 Thermal Trigger Detected 🔥 - Channel 1 | Mode:   -- Diverted to Hub Channel 1
INFO [moustache] [2025-05-29 13:46:29] INFO  🔥 Thermal Trigger Detected 🔥 - Channel 1 | Mode: NO_OUTPUT  -- Diverted to Hub Channel 1
INFO [moustache] [2025-05-29 13:46:38] INFO  🔥 Thermal Trigger Detected 🔥 - Channel 1 | Mode: NO_OUTPUT  -- Diverted to Hub Channel 1
INFO [moustache] [2025-05-29 13:46:39] INFO  🔥 Thermal Trigger Detected 🔥 - Channel 1 | Mode: NO_OUTPUT  -- Diverted to Hub Channel 1
INFO [moustache] [2025-06-07 16:57:36] INFO  🔥 Thermal Trigger Detected 🔥 - Channel  | Mode:   -- Diverted to Hub Channel 
INFO [moustache] [2025-06-07 16:57:36] INFO [Network Event]:🔥 Fire Warning Start Detected 🔥 - Camera 1 @ 192.168.1.240 | Mode: 
INFO [moustache] [2025-06-07 16:57:41] INFO  🔥 Thermal Trigger Detected 🔥 - Channel  | Mode:   -- Diverted to Hub Channel 
INFO [moustache] [2025-06-07 16:57:41] INFO [Network Event]:🔥 Fire Warning Stop Detected 🔥 - Camera 1 @ 192.168.1.240 | Mode: 
INFO [moustache] [2025-06-07 17:05:06] INFO [Network Event]:🔥 Fire Trigger Start Detected 🔥 - Camera 1 @ 192.168.1.240 | Mode: TEST
INFO [moustache] [2025-06-07 17:05:11] INFO [Network Event]:🔥 Fire Trigger Stop Detected 🔥 - Camera 1 @ 192.168.1.240 | Mode: TEST
INFO [moustache] [2025-06-07 17:09:39] INFO [Network Event]:🔥 Fire Trigger Started 🔥 - Camera 1 @ 192.168.1.240 | Mode: TEST
INFO [moustache] [2025-06-07 17:09:44] INFO [Network Event]:🔥 Fire Trigger Stopped 🔥 - Camera 1 @ 192.168.1.240 | Mode: TEST
INFO [moustache] [2025-06-07 17:12:15] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:12:31] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:12:31] INFO [Network Event]:🔥 Fire Trigger Started 🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:13:15] INFO [Network Event]:🔥 Fire Trigger Stopped 🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:13:53] INFO [Network Event]: 🔥 Fire Trigger Started 🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:13:55] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:14:48] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:15:26] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:17:04] INFO [Network Event]: 🔥 Fire Trigger Stopped 🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:18:04] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:20:07] INFO [Network Event]: 🔥   Fire Trigger Started  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:20:10] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:20:41] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240  -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:22:15] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:24:46] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:24:46] INFO [Network Event]: 🔥   Fire Trigger Started  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:25:27] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:25:52] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:25:58] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: TEST
INFO [moustache] [2025-06-07 17:28:32] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:28:36] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:28:47] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:28:47] INFO [Network Event]: 🔥   Fire Trigger Started  🔥 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:29:02] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:29:20] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:30:29] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
